,song_name,song_id,album,release_date,energy,acousticness,valence,popularity,genres,Billboard Hot 100,Debut Date,Peak Pos.,Peak Date,Wks on Chart
140,breathe,49mWEy5MgtNujgT7xU3emT,Fearless,2008-11-11,0.482,0.379,0.184,63,"['country', 'country pop', 'pop', 'sad']",breathe,11.29.08,87.0,11.29.08,1.0
141,tell me why,3rnI1UCyGJvUTVvT97VQr5,Fearless,2008-11-11,0.855,0.0571,0.51,61,"['country', 'country pop', 'pop', 'bluegrass']",,,,,
142,you're not sorry,0HmCuN0Z3OX1Qrz43FLOPL,Fearless,2008-11-11,0.452,0.146,0.276,50,"['country', 'pop', 'sad']",you're not sorry,11.15.08,11.0,11.15.08,5.0
143,the way i loved you,5P4wWhUYWM0IaVYLuZxdar,Fearless,2008-11-11,0.7,0.0408,0.398,80,"['country', 'pop', 'country pop']",the way i loved you,11.29.08,72.0,11.29.08,1.0
144,the way i loved you,5P4wWhUYWM0IaVYLuZxdar,Fearless,2008-11-11,0.7,0.0408,0.398,80,"['country', 'pop', 'country pop']",the way i loved you,04.24.21,94.0,04.24.21,1.0
145,forever & always,47HtKpfzpAt8rQjjXWotFj,Fearless,2008-11-11,0.821,0.0752,0.544,67,"['country', 'pop', 'country pop']",forever & always,11.29.08,34.0,11.14.09,3.0
146,forever & always,47HtKpfzpAt8rQjjXWotFj,Fearless,2008-11-11,0.821,0.0752,0.544,67,"['country', 'pop', 'country pop']",forever & always,04.24.21,65.0,04.24.21,1.0
147,the best day,3esA216TyLHEkNiBCeCmcg,Fearless,2008-11-11,0.434,0.647,0.396,61,"['country', 'country pop', 'pop']",,,,,
148,change,1yACRKAwlXWhXXFUSkvzhD,Fearless,2008-11-11,0.77,0.00408,0.215,70,"['country', 'pop', 'country pop']",change,08.30.08,10.0,08.30.08,3.0
149,tim mcgraw,0Om9WAB5RS09L80DyOfTNa,Taylor Swift,2006-10-24,0.491,0.575,0.425,62,"['country', 'contemporary country', 'pop']",tim mcgraw,09.23.06,40.0,01.13.07,20.0
150,picture to burn,32mVHdy0bi1XKgr0ajsBlG,Taylor Swift,2006-10-24,0.877,0.173,0.821,66,"['country', 'pop']",picture to burn,03.01.08,28.0,05.17.08,20.0
151,teardrops on my guitar,7zMcNqs55Mxer82bvZFkpg,Taylor Swift,2006-10-24,0.417,0.288,0.289,65,"['pop', 'country']",teardrops on my guitar,03.24.07,13.0,03.01.08,48.0
152,a place in this world,73OX8GdpOeGzKC6OvGSbsv,Taylor Swift,2006-10-24,0.777,0.051,0.428,54,"['country', 'country pop', 'pop']",,,,,
153,cold as you,7an1exwMnfYRcdVQm0yDev,Taylor Swift,2006-10-24,0.482,0.217,0.261,54,"['country', 'country pop', 'pop', 'sad']",,,,,
154,the outside,2QA3IixpRcKyOdG7XDzRgv,Taylor Swift,2006-10-24,0.805,0.00491,0.591,52,"['country', 'pop', 'country pop']",,,,,
155,tied together with a smile,6K0CJLVXqbGMeJSmJ4ENKK,Taylor Swift,2006-10-24,0.578,0.525,0.192,53,"['country', 'country pop', 'pop']",,,,,
156,stay beautiful,2ZoOmCSgj0ypVAmGd1ve4y,Taylor Swift,2006-10-24,0.629,0.0868,0.504,53,"['country', 'pop']",,,,,
157,should've said no,16MVSD0mGI4RMQT83Qzm69,Taylor Swift,2006-10-24,0.777,0.0103,0.472,63,"['country', 'pop']",should've said no,06.07.08,33.0,08.09.08,20.0
158,mary's song,2QrQCMel6v2JiLxqrg4p2O,Taylor Swift,2006-10-24,0.627,0.0177,0.374,55,"['country', 'pop', 'country pop']",,,,,
159,our song,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,2006-10-24,0.672,0.111,0.539,70,"['country', 'pop', 'fun']",our song,10.13.07,16.0,01.19.08,36.0
160,i'm only me when i'm with you,0JIdBrXGSJXS72zjF9ss9u,Taylor Swift,2006-10-24,0.934,0.00452,0.518,55,"['country', 'pop']",,,,,
161,invisible,5OOd01o2YS1QFwdpVLds3r,Taylor Swift,2006-10-24,0.394,0.637,0.233,52,"['country', 'sad']",,,,,
162,a perfectly good heart,1spLfUJxtyVyiKKTegQ2r4,Taylor Swift,2006-10-24,0.751,0.00349,0.268,50,"['country', 'happy']",,,,,
163,teardrops on my guitar,4pJi1rVt9GNegU9kywjg4z,Taylor Swift,2006-10-24,0.753,0.0402,0.483,52,"['pop', 'rock', 'country', 'pop rock', 'soft rock', 'country pop']",teardrops on my guitar,03.24.07,13.0,03.01.08,48.0
